let geocoded_ice = 
`recipient_name,total_obligated_amount,Country,Address,County,City,State,"Zip4 Code","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"AXUMFED LLC",2562230.84,USA,"1765 GREENSBORO STATION PL FL 9",MCLEAN,FAIRFAX,VA,221023472,38.922209,-77.233565,1,rooftop,"1765 Greensboro Station Pl","Fl 9","Mc Lean, VA 22102",1765,"Greensboro Station Pl",Fl,9,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"OLD HARBOR SOLUTIONS LLC",2554255.63,USA,"2702 DENALI ST",ANCHORAGE,ANCHORAGE,AK,995032747,61.195887,-149.876979,1,rooftop,"2702 Denali St",,"Anchorage, AK 99503",2702,"Denali St",,,Anchorage,AK,"Anchorage Municipality",99503,US,"Anchorage (Municipality of Anchorage)"
"KZF DESIGN INC",2534796.41,USA,"700 BROADWAY ST",CINCINNATI,HAMILTON,OH,452026011,39.105021,-84.506997,1,rooftop,"700 Broadway St",,"Cincinnati, OH 45202",700,"Broadway St",,,Cincinnati,OH,"Hamilton County",45202,US,Hamilton
"ARMAG CORP",2496677.8,USA,"40 LUCKNOW CT",BARDSTOWN,NELSON,KY,400042113,37.804912,-85.449249,1,rooftop,"40 Lucknow Ct",,"Bardstown, KY 40004",40,"Lucknow Ct",,,Bardstown,KY,"Nelson County",40004,US,"Statewide KY"
"PEGASUS SUPPORT SERVICES LLC",2490158.1,USA,"265 PARKWAY 575",WOODSTOCK,CHEROKEE,GA,301886421,34.088403,-84.531658,0.95,rooftop,"265 Pkwy",575,"Woodstock, GA 30188",265,Pkwy,,575,Woodstock,GA,"Cherokee County",30188,US,Cherokee
"JROGERS CONSULTING LLC",2426730.74,USA,"14 ROSECREST AVE",ALEXANDRIA,"ALEXANDRIA (CITY)",VA,223011528,38.825328,-77.063961,1,rooftop,"14 Rosecrest Ave",,"Alexandria, VA 22301",14,"Rosecrest Ave",,,Alexandria,VA,"Alexandria City",22301,US,"City of Alexandria"
"DSSP CONSULTING, INC.",2400926.4,USA,"137 NATIONAL PLZ STE 300","OXON HILL","PRINCE GEORGE'S",MD,207451153,38.785579,-77.016374,1,rooftop,"137 National Plz","Ste 300","Oxon Hill, MD 20745",137,"National Plz",Ste,300,"Oxon Hill",MD,"Prince George's County",20745,US,"Prince Georges"
"SIG SAUER, INC",2375662.01,USA,"72 PEASE BLVD",NEWINGTON,ROCKINGHAM,NH,38016801,43.0893,-70.811523,1,rooftop,"72 Pease Blvd",,"Newington, NH 03801",72,"Pease Blvd",,,Newington,NH,"Rockingham County",03801,US,"Statewide NH"
"AXIS GLOBAL ENTERPRISES, INC.",2372793.85,USA,"1439 N GREAT NECK RD STE 100","VIRGINIA BEACH","VIRGINIA BEACH (CITY)",VA,234541347,36.879559,-76.043687,1,rooftop,"1439 N Great Neck Rd","Ste 100","Virginia Beach, VA 23454",1439,"N Great Neck Rd",Ste,100,"Virginia Beach",VA,"Virginia Beach City",23454,US,"Virginia Beach"
"APPLIED RESEARCH ASSOCIATES, INC.",2269150.26,USA,"4300 SAN MATEO BLVD NE STE A-220",ALBUQUERQUE,BERNALILLO,NM,871101295,35.129681,-106.585694,1,rooftop,"4300 San Mateo Blvd NE","Ste A220","Albuquerque, NM 87110",4300,"San Mateo Blvd NE",Ste,A220,Albuquerque,NM,"Bernalillo County",87110,US,Bernalillo
"PEOPLE, TECHNOLOGY AND PROCESSES, LLC",2257074.33,USA,"8621 E DR MARTIN LUTHER KING JR BLVD",TAMPA,HILLSBOROUGH,FL,336107305,27.981155,-82.356673,1,rooftop,"8621 E Martin Luther King Jr Blvd",,"Tampa, FL 33610",8621,"E Martin Luther King Jr Blvd",,,Tampa,FL,"Hillsborough County",33610,US,"Hillsborough (Hillsborough County CC BY 4.0)"
"CHILD RESCUE COALITION, INC.",2240000,USA,"4530 CONFERENCE WAY S","BOCA RATON","PALM BEACH",FL,334314489,26.388377,-80.108797,1,rooftop,"4530 Conference Way S",,"Boca Raton, FL 33431",4530,"Conference Way S",,,"Boca Raton",FL,"Palm Beach County",33431,US,"Palm Beach (Public Domain Palm Beach County)"
"INFORMATION TECHNOLOGY STRATEGIES, INC.",2168033.17,USA,"23392 SUMMERSTOWN PL",STERLING,LOUDOUN,VA,201662178,38.968472,-77.493841,1,rooftop,"23392 Summerstown Pl",,"Sterling, VA 20166",23392,"Summerstown Pl",,,Sterling,VA,"Loudoun County",20166,US,Loudoun
"CREDENCE DYNAMO SOLUTIONS LLC",2070772.71,USA,"1951 KIDWELL DR STE 550",VIENNA,FAIRFAX,VA,221823984,38.910701,-77.220432,1,rooftop,"1951 Kidwell Dr","Ste 550","Vienna, VA 22182",1951,"Kidwell Dr",Ste,550,Vienna,VA,"Fairfax County",22182,US,Fairfax
"CUBE ROOT CORPORATION",2066534.75,USA,"1100 H ST NW STE 805",WASHINGTON,"DISTRICT OF COLUMBIA",DC,200055482,38.899532,-77.027384,1,rooftop,"1100 H St NW","Ste 805","Washington, DC 20005",1100,"H St NW",Ste,805,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
"MICROSOFT CORPORATION",2043232.71,USA,"ONE MICROSOFT WAY",REDMOND,KING,WA,980528300,47.678756,-122.121034,0.5,place,,,"Redmond, WA 98052",,,,,Redmond,WA,"King County",98052,US,"TIGER/Line® dataset from the US Census Bureau"
"GOVERNMENT ACQUISITIONS INC",2030151.32,USA,"2060 READING ROAD",CINCINNATI,HAMILTON,OH,452021400,39.12014,-84.4997,1,rooftop,"2060 Reading Rd",,"Cincinnati, OH 45202",2060,"Reading Rd",,,Cincinnati,OH,"Hamilton County",45202,US,Hamilton
"ALVAREZ LLC",2028799.57,USA,"161 FORT EVANS RD NE STE 335",LEESBURG,LOUDOUN,VA,201763375,39.108505,-77.541492,1,rooftop,"161 Ft Evans Rd NE","Ste 335","Leesburg, VA 20176",161,"Ft Evans Rd NE",Ste,335,Leesburg,VA,"Loudoun County",20176,US,Loudoun
"AVANI SERVICES, LLC",2018708.45,USA,"5003 WARREN ST NW",WASHINGTON,"DISTRICT OF COLUMBIA",DC,200164371,38.944861,-77.099042,1,rooftop,"5003 Warren St NW",,"Washington, DC 20016",5003,"Warren St NW",,,Washington,DC,"District of Columbia",20016,US,"Statewide (City of Washington)"
"NOBLE SUPPLY & LOGISTICS, LLC",2004772.52,USA,"1 MARINA PARK DRIVE, SUITE 220",BOSTON,SUFFOLK,MA,22101873,42.353224,-71.045411,1,rooftop,"1 Marina Park Dr","Ste 220","Boston, MA 02210",1,"Marina Park Dr",Ste,220,Boston,MA,"Suffolk County",02210,US,"City of Boston"
"PARAGON SOLUTIONS (US) INC",2000000,USA,"14900 CONFERENCE CENTER DR",CHANTILLY,FAIRFAX,VA,201513834,38.873943,-77.462321,1,rooftop,"14900 Conference Center Dr",,"Chantilly, VA 20151",14900,"Conference Center Dr",,,Chantilly,VA,"Fairfax County",20151,US,Fairfax
"GARUD TECHNOLOGY SERVICES, INC.",1991075.84,USA,"8815 CENTRE PARK DR STE 320",COLUMBIA,HOWARD,MD,210452284,39.228461,-76.816163,1,rooftop,"8815 Centre Park Dr","Ste 320","Columbia, MD 21045",8815,"Centre Park Dr",Ste,320,Columbia,MD,"Howard County",21045,US,"Howard (PD)"
"KATMAI COMMODITIES, LLC",1984950.19,USA,"11001 OMALLEY CENTRE DR",ANCHORAGE,ANCHORAGE,AK,995153096,61.121102,-149.86157,1,rooftop,"11001 O'malley Centre Dr",,"Anchorage, AK 99515",11001,"O'malley Centre Dr",,,Anchorage,AK,"Anchorage Municipality",99515,US,"Anchorage (Municipality of Anchorage)"
"NU BORDERS LLC",1966419.28,USA,"1037 PLEASANT ST",BRIDGEWATER,PLYMOUTH,MA,23242301,41.971058,-71.009885,1,range_interpolation,"1037 Pleasant St",,"Bridgewater, MA 02324",1037,"Pleasant St",,,Bridgewater,MA,"Plymouth County",02324,US,"TIGER/Line® dataset from the US Census Bureau"
"ITSC SECURE SOLUTIONS, LLC",1958986.8,USA,"4510 GRESHAM LN SE","OWENS CROSS ROADS",MADISON,AL,357633201,34.652209,-86.5013,1,rooftop,"4510 Gresham Ln SE",,"Owens Cross Roads, AL 35763",4510,"Gresham Ln SE",,,"Owens Cross Roads",AL,"Madison County",35763,US,"City of Huntsville"
"COMMIT ENTERPRISES INC",1927893.97,USA,"4151 SPRUILL AVE STE 300","N CHARLESTON",CHARLESTON,SC,294054946,32.871043,-79.980893,1,rooftop,"4151 Spruill Ave","Ste 300","North Charleston, SC 29405",4151,"Spruill Ave",Ste,300,"North Charleston",SC,"Charleston County",29405,US,"Charleston County GIS"
"GOLDEN KEY GROUP, LLC",1884957.46,USA,"1850 CENTENNIAL PARK DR",RESTON,FAIRFAX,VA,201911524,38.945805,-77.339852,1,rooftop,"1850 Centennial Park Dr",,"Reston, VA 20191",1850,"Centennial Park Dr",,,Reston,VA,"Fairfax County",20191,US,Fairfax
"FEDERAL RESOURCES SUPPLY COMPANY, LLC",1870910.02,USA,"235-G LOG CANOE CIR",STEVENSVILLE,"QUEEN ANNE'S",MD,216662165,38.99029,-76.317756,1,rooftop,"235 Log Canoe Cir",,"Stevensville, MD 21666",235,"Log Canoe Cir",,,Stevensville,MD,"Queen Anne's County",21666,US,"Queen Annes"
"BARNALLEN TECHNOLOGIES, INC.",1830192.6,USA,"1700 ROCKVILLE PIKE STE 300",ROCKVILLE,MONTGOMERY,MD,208521631,39.061911,-77.122665,1,rooftop,"1700 Rockville Pike","Ste 300","Rockville, MD 20852",1700,"Rockville Pike",Ste,300,Rockville,MD,"Montgomery County",20852,US,Montgomery
"RELX INC",1818722,USA,"9443 SPRINGBORO PIKE",MIAMISBURG,MONTGOMERY,OH,453424425,39.614429,-84.229713,1,rooftop,"9443 Springboro Pike",,"Miamisburg, OH 45342",9443,"Springboro Pike",,,Miamisburg,OH,"Montgomery County",45342,US,Montgomery
"BERLA CORPORATION",1803440,USA,"565 MAYNADIER LN",CROWNSVILLE,"ANNE ARUNDEL",MD,210322137,39.03717,-76.581022,1,rooftop,"565 Maynadier Ln",,"Crownsville, MD 21032",565,"Maynadier Ln",,,Crownsville,MD,"Anne Arundel County",21032,US,"Anne Arundel (Anne Arundel County)"
"APPLIED FUNDAMENTALS CONSULTING LLC",1795485.64,USA,"13655 DULLES TECHNOLOGY DR STE 160",HERNDON,FAIRFAX,VA,201714634,38.956878,-77.415014,1,rooftop,"13655 Dulles Technology Dr","Ste 160","Herndon, VA 20171",13655,"Dulles Technology Dr",Ste,160,Herndon,VA,"Fairfax County",20171,US,Fairfax
"MOI, INC.",1777526.13,USA,"1801 PORTER ST STE 100",BALTIMORE,"BALTIMORE (CITY)",MD,212305562,39.267628,-76.599007,1,rooftop,"1801 Porter St","Ste 100","Baltimore, MD 21230",1801,"Porter St",Ste,100,Baltimore,MD,"Baltimore City",21230,US,"City of Baltimore"
"ETHIC TECH, LLC",1767900.65,USA,"401 WYNN DR NW",HUNTSVILLE,MADISON,AL,358051962,34.731401,-86.656161,1,rooftop,"401 Wynn Dr NW",,"Huntsville, AL 35805",401,"Wynn Dr NW",,,Huntsville,AL,"Madison County",35805,US,"City of Huntsville"
"DEFENSE POINT SECURITY, LLC",1754957.95,USA,"44 CANAL CENTER PLAZA SUITE 305",ALEXANDRIA,"ALEXANDRIA (CITY)",VA,223141552,38.814329,-77.038606,1,rooftop,"44 Canal Center Plz","Ste 305","Alexandria, VA 22314",44,"Canal Center Plz",Ste,305,Alexandria,VA,"Alexandria City",22314,US,"Virginia Geographic Information Network (VGIN)"
"CINKA CONSTRUCTION & CONSULTING SERVICES LLC",1740861,USA,"307 SAINT KITTS LOOP","SAINT AUGUSTINE","ST. JOHNS",FL,320921181,29.931866,-81.431291,1,rooftop,"307 St Kitts Loop",,"Saint Augustine, FL 32092",307,"St Kitts Loop",,,"Saint Augustine",FL,"St. Johns County",32092,US,"St Johns"
"ARETEC, INC",1733613.5,USA,"10201 FAIRFAX BLVD STE 223",FAIRFAX,"FAIRFAX (CITY)",VA,220302222,38.86094,-77.29732,1,rooftop,"10201 Fairfax Blvd","Ste 223","Fairfax, VA 22030",10201,"Fairfax Blvd",Ste,223,Fairfax,VA,"Fairfax City",22030,US,"Virginia Geographic Information Network (VGIN)"
"A2Z SUPPLY CORP",1720998.36,USA,"302 MAIN ST",STEVENSVILLE,RAVALLI,MT,598702530,46.509693,-114.093308,1,rooftop,"302 Main St",,"Stevensville, MT 59870",302,"Main St",,,Stevensville,MT,"Ravalli County",59870,US,"Montana State Library"
"CENTRAL PARKING SYSTEM INC",1714097.76,USA,"1225 I ST NW STE C100",WASHINGTON,"DISTRICT OF COLUMBIA",DC,200053914,38.901657,-77.029162,1,rooftop,"1225 I St NW","Ste C100","Washington, DC 20005",1225,"I St NW",Ste,C100,Washington,DC,"District of Columbia",20005,US,"Statewide (City of Washington)"
"MOUNTAIN HORSE LLC",1712959.05,USA,"407 S TEJON ST","COLORADO SPRINGS","EL PASO",CO,809032196,38.827881,-104.823382,1,rooftop,"407 S Tejon St",,"Colorado Springs, CO 80903",407,"S Tejon St",,,"Colorado Springs",CO,"El Paso County",80903,US,"El Paso"
"GOVPLACE, LLC",1670182.52,USA,"7315 WISCONSIN AVE STE 300",BETHESDA,MONTGOMERY,MD,208143202,38.982661,-77.092595,1,rooftop,"7315 Wisconsin Ave","Ste 300W","Bethesda, MD 20814",7315,"Wisconsin Ave",Ste,300W,Bethesda,MD,"Montgomery County",20814,US,Montgomery
"TRIDANT SOLUTIONS, INC.",1665998.81,USA,"453 N LAKE AVE",PASADENA,"LOS ANGELES",CA,911011215,34.154113,-118.132813,1,rooftop,"453 N Lake Ave",,"Pasadena, CA 91101",453,"N Lake Ave",,,Pasadena,CA,"Los Angeles County",91101,US,"Los Angeles (Los Angeles County license to copy, publish, distribute and/or transmit the Data, to adapt the Data and to exploit the Data for commercial and/or personal use)"
"DIGITALSPEC, LLC",1664490.42,USA,"3949 PENDER DRIVE STE 305",FAIRFAX,FAIRFAX,VA,220306048,38.86154,-77.332032,1,rooftop,"3949 Pender Dr","Ste 305","Fairfax, VA 22030",3949,"Pender Dr",Ste,305,Fairfax,VA,"Fairfax County",22030,US,Fairfax
"NATIONAL CYBER-FORENSICS AND TRAINING ALLIANCE LIMITED",1623999.84,USA,"2000 TECHNOLOGY DR STE 450",PITTSBURGH,ALLEGHENY,PA,152193112,40.4341,-79.970012,1,rooftop,"2000 Technology Dr","Ste 450","Pittsburgh, PA 15219",2000,"Technology Dr",Ste,450,Pittsburgh,PA,"Allegheny County",15219,US,Allegheny
"DAWN INCORPORATED",1610099,USA,"2861 SFERRA AVE NW",WARREN,TRUMBULL,OH,44483,41.263064,-80.824364,0.75,nearest_rooftop_match,"2961 Sferra Ave",,"Warren, OH 44483",2961,"Sferra Ave",,,Warren,OH,"Trumbull County",44483,US,Trumbull
"SAYARI ANALYTICS, LLC",1588250.75,USA,"829 7TH ST NW FL 3",WASHINGTON,"DISTRICT OF COLUMBIA",DC,200013850,38.900609,-77.021636,1,rooftop,"829 7th St NW","Fl 3","Washington, DC 20001",829,"7th St NW",Fl,3,Washington,DC,"District of Columbia",20001,US,"Statewide (City of Washington)"
"EG&R ENGINEERING PC",1545910.24,USA,"1249 S RIVER RD",CRANBURY,MIDDLESEX,NJ,85123633,40.3317,-74.4934,1,rooftop,"1249 S River Rd",,"Cranbury, NJ 08512",1249,"S River Rd",,,Cranbury,NJ,"Middlesex County",08512,US,"NJ Office of Information Technology (NJOIT), Office of Geographic Information Systems (OGIS)"
"ACCESS COMMUNICATIONS GROUP, LLC",1535472.23,USA,"2017 TEXAS AVE","EL PASO","EL PASO",TX,799011943,31.771224,-106.468216,1,range_interpolation,"2017 Texas Ave",,"El Paso, TX 79901",2017,"Texas Ave",,,"El Paso",TX,"El Paso County",79901,US,"TIGER/Line® dataset from the US Census Bureau"
"SP PLUS CORPORATION",1532519.36,USA,"200 E RANDOLPH ST STE 7700",CHICAGO,COOK,IL,606017702,41.885267,-87.621483,1,rooftop,"200 E Randolph St","Ste 7700","Chicago, IL 60601",200,"E Randolph St",Ste,7700,Chicago,IL,"Cook County",60601,US,"City of Chicago"
"ADVENTURES BY DAWN L.L.C",1525614.53,USA,"17517B INDIAN HEAD HWY",ACCOKEEK,"PRINCE GEORGE'S",MD,206072527,38.649731,-77.03836,1,rooftop,"17517 Indian Head Hwy",,"Accokeek, MD 20607",17517,"Indian Head Hwy",,,Accokeek,MD,"Prince George's County",20607,US,"Prince Georges"
"CADUCEUS HEALTHCARE INC",1516911.87,USA,"1850 PARKWAY PL SE STE 725",MARIETTA,COBB,GA,300678262,33.938237,-84.502223,1,rooftop,"1850 Parkway Pl SE","Ste 725","Marietta, GA 30067",1850,"Parkway Pl SE",Ste,725,Marietta,GA,"Cobb County",30067,US,Cobb
"OPTIVOR TECHNOLOGIES, LLC",1485759.36,USA,"7616 SOUTHLAND BLVD STE 111",ORLANDO,ORANGE,FL,328098513,28.454063,-81.407585,1,rooftop,"7616 Southland Blvd","Ste 111","Orlando, FL 32809",7616,"Southland Blvd",Ste,111,Orlando,FL,"Orange County",32809,US,"Orange (Public Domain Orange County)"
"TSC MANAGEMENT, LLC",1472504.29,USA,"1600 BELLEVILLE ST",RICHMOND,"RICHMOND (CITY)",VA,232304440,37.572162,-77.474777,1,rooftop,"1600 Belleville St",,"Richmond, VA 23230",1600,"Belleville St",,,Richmond,VA,"Richmond City",23230,US,"City of Richmond"
"THERMO SCIENTIFIC PORTABLE ANALYTICAL INSTRUMENTS INC.",1455648.08,USA,"2 RADCLIFF RD",TEWKSBURY,MIDDLESEX,MA,18761182,42.639427,-71.234567,0.9,rooftop,"2 Radcliffe Rd",,"Tewksbury, MA 01876",2,"Radcliffe Rd",,,Tewksbury,MA,"Middlesex County",01876,US,"Office of Geographic Information (MassGIS), Commonwealth of Massachusetts, MassIT"
"PAPERLESS INNOVATIONS INC",1445856,USA,"4273 HAULOVER DR","JOHNS ISLAND",CHARLESTON,SC,294554116,32.620019,-80.134068,1,rooftop,"4273 Haulover Dr",,"Johns Island, SC 29455",4273,"Haulover Dr",,,"Johns Island",SC,"Charleston County",29455,US,Charleston
"ASET PARTNERS CORP.",1384024,USA,"5523 RESEARCH PARK DR STE 240",BALTIMORE,BALTIMORE,MD,212284587,39.249748,-76.712351,1,rooftop,"5523 Research Park Dr","Ste 240","Catonsville, MD 21228",5523,"Research Park Dr",Ste,240,Catonsville,MD,"Baltimore County",21228,US,"Baltimore (Public Domain)"
"HUMAN RESOURCES RESEARCH ORGANIZATION (HUMRRO)",1373293.83,USA,"66 CANAL CENTER PLZ",ALEXANDRIA,"ALEXANDRIA (CITY)",VA,223141578,38.813856,-77.03897,1,rooftop,"66 Canal Center Plz",,"Alexandria, VA 22314",66,"Canal Center Plz",,,Alexandria,VA,"Alexandria City",22314,US,"Virginia Geographic Information Network (VGIN)"
"J.P. INDUSTRIES, INC.",1354185.56,USA,"2851 N COUNTRY CLUB RD",TUCSON,PIMA,AZ,857161909,32.259268,-110.927216,1,rooftop,"2851 N Country Club Rd",,"Tucson, AZ 85716",2851,"N Country Club Rd",,,Tucson,AZ,"Pima County",85716,US,Pima
"MODEL CONCEPT COMMUNICATIONS, LLC",1343827.04,USA,"12025 NEW DOMINION PKWY APT 204",RESTON,FAIRFAX,VA,201906265,38.960198,-77.360956,1,rooftop,"12025 New Dominion Pkwy","Apt 204","Reston, VA 20190",12025,"New Dominion Pkwy",Apt,204,Reston,VA,"Fairfax County",20190,US,Fairfax
"MANDIANT, INC.",1340480,USA,"601 MCCARTHY BLVD",MILPITAS,"SANTA CLARA",CA,950357932,37.416819,-121.921629,1,rooftop,"601 Mc Carthy Blvd",,"Milpitas, CA 95035",601,"Mc Carthy Blvd",,,Milpitas,CA,"Santa Clara County",95035,US,"Santa Clara (Santa Clara County)"
"PRIME MASONRY, LLC",1335686.01,USA,"2212 PRIMROSE AVE STE E",MCALLEN,HIDALGO,TX,785044161,26.244383,-98.237961,1,rooftop,"2212 Primrose Ave","Ste E","McAllen, TX 78504",2212,"Primrose Ave",Ste,E,McAllen,TX,"Hidalgo County",78504,US,"Hidalgo County"
"APL ACCESS & SECURITY, INC.",1329809.67,USA,"115 SOUTH WILLIAM DILLARD DR",GILBERT,MARICOPA,AZ,852335525,33.347532,-111.830405,1,rooftop,"115 S William Dillard Dr",,"Gilbert, AZ 85233",115,"S William Dillard Dr",,,Gilbert,AZ,"Maricopa County",85233,US,"City of Gilbert"
"PERATON TECHNOLOGY SERVICES INC.",1323206.12,USA,"15050 CONFERENCE CENTER DR",CHANTILLY,FAIRFAX,VA,201513857,38.882284,-77.457163,1,rooftop,"15050 Conference Center Dr",,"Chantilly, VA 20151",15050,"Conference Center Dr",,,Chantilly,VA,"Fairfax County",20151,US,Fairfax
"TRANSLATION EXCELLENCE INC.",1297521.68,USA,"3300 S PARKER RD",AURORA,ARAPAHOE,CO,800143504,39.657467,-104.835258,1,rooftop,"3300 S Parker Rd",,"Aurora, CO 80014",3300,"S Parker Rd",,,Aurora,CO,"Arapahoe County",80014,US,"Arapahoe (Arapahoe County)"
"GANS & PUGH ASSOCIATES, INC.",1296335,USA,"690 CTR ST STE 201",HERNDON,FAIRFAX,VA,201705019,38.9646,-77.387383,0.7,street_center,"Fairfax Ln","Ste 201","Herndon, VA 20170",,"Fairfax Ln",Ste,201,Herndon,VA,"Fairfax County",20170,US,"TIGER/Line® dataset from the US Census Bureau"
"CENTRAL LAKE ARMOR EXPRESS INC",1285438.27,USA,"750A W FIELDCREST RD",EDEN,ROCKINGHAM,NC,272883631,36.511735,-79.716161,1,rooftop,"750 W Fieldcrest Rd",,"Eden, NC 27288",750,"W Fieldcrest Rd",,,Eden,NC,"Rockingham County",27288,US,Rockingham
"LEGAL INTERPRETING SERVICES, INC.",1274295.01,USA,"14850 CONFERENCE CENTER DR",CHANTILLY,FAIRFAX,VA,201513844,38.873352,-77.459575,1,rooftop,"14850 Conference Center Dr",,"Chantilly, VA 20151",14850,"Conference Center Dr",,,Chantilly,VA,"Fairfax County",20151,US,Fairfax
"GETTYSBURG ADDRESSES, INC.",1256900,USA,"8 LINCOLN SQ",GETTYSBURG,ADAMS,PA,173252205,39.830801,-77.230618,1,rooftop,"8 Lincoln Sq",,"Gettysburg, PA 17325",8,"Lincoln Sq",,,Gettysburg,PA,"Adams County",17325,US,Adams
"FLEET MANAGEMENT SOLUTIONS INC",1245845.68,USA,"310 COMMERCE STE 100",IRVINE,ORANGE,CA,926021360,33.716629,-117.785174,1,rooftop,"310 Commerce","Ste 100","Irvine, CA 92602",310,Commerce,Ste,100,Irvine,CA,"Orange County",92602,US,"City of Irvine"
"WHOOSTER INC",1239000,USA,"112 CIMARRON PARK LOOP",BUDA,HAYS,TX,786102850,30.101993,-97.854483,1,rooftop,"112 Cimarron Park Loop",,"Buda, TX 78610",112,"Cimarron Park Loop",,,Buda,TX,"Hays County",78610,US,"City of Buda"
"V3 GATE TEAM, LLP",1235579.07,USA,"555 MIDDLE CREEK PKWY UNIT 120","COLORADO SPRINGS","EL PASO",CO,809213798,39.006959,-104.818146,1,rooftop,"555 Middle Creek Pkwy","Unit 120","Colorado Springs, CO 80921",555,"Middle Creek Pkwy",Unit,120,"Colorado Springs",CO,"El Paso County",80921,US,"El Paso"
"CONSTELLATION INC",1227882.62,USA,"1400 MAYHURST BLVD","MC LEAN",FAIRFAX,VA,221022235,38.938645,-77.243887,1,rooftop,"1400 Mayhurst Blvd",,"Mc Lean, VA 22102",1400,"Mayhurst Blvd",,,"Mc Lean",VA,"Fairfax County",22102,US,Fairfax
"XEROX CORPORATION",1191744.09,USA,"1800 M ST NW STE 500N",WASHINGTON,"DISTRICT OF COLUMBIA",DC,200365870,38.905338,-77.04224,1,rooftop,"1800 M St NW","Ste 500N","Washington, DC 20036",1800,"M St NW",Ste,500N,Washington,DC,"District of Columbia",20036,US,"Statewide (City of Washington)"
"IMPRES TECHNOLOGY SOLUTIONS, INC",1176703.31,USA,"810 HESTERS CROSSING RD","ROUND ROCK",WILLIAMSON,TX,786817839,30.485089,-97.687094,1,rooftop,"810 Hesters Crossing Rd",,"Round Rock, TX 78681",810,"Hesters Crossing Rd",,,"Round Rock",TX,"Williamson County",78681,US,"City of Round Rock"
"FIRELAKE CONSTRUCTION INC",1164660.92,USA,"3054 LEEMAN FERRY RD SW",HUNTSVILLE,MADISON,AL,358015660,34.703402,-86.593441,1,rooftop,"3054 Leeman Ferry Rd SW",,"Huntsville, AL 35801",3054,"Leeman Ferry Rd SW",,,Huntsville,AL,"Madison County",35801,US,"City of Huntsville"
"YUKON FIRE PROTECTION SERVICES, INC.",1146182.76,USA,"5601 SILVERADO WAY",ANCHORAGE,ANCHORAGE,AK,995181651,61.169963,-149.888592,1,rooftop,"5601 Silverado Way",,"Anchorage, AK 99518",5601,"Silverado Way",,,Anchorage,AK,"Anchorage Municipality",99518,US,"Anchorage (Municipality of Anchorage)"
"DTC COMMUNICATIONS, INC.",1131940,USA,"3845 GATEWAY CENTRE BLVD STE 360","PINELLAS PARK",PINELLAS,FL,337826132,27.852717,-82.686595,1,rooftop,"3845 Gateway Centre Blvd","Ste 360","Pinellas Park, FL 33782",3845,"Gateway Centre Blvd",Ste,360,"Pinellas Park",FL,"Pinellas County",33782,US,"City of Pinellas Park"
"EAST RIO HONDO WATER SUPPLY CORP",1130054.61,USA,"206 INDUSTRIAL PKWY","RIO HONDO",CAMERON,TX,785830000,26.232598,-97.576947,1,rooftop,"206 Industrial Pkwy",,"Rio Hondo, TX 78583",206,"Industrial Pkwy",,,"Rio Hondo",TX,"Cameron County",78583,US,"Statewide (CC 0 Texas Natural Resources Information System)"
"ENTERPRISE TECHNOLOGY SOLUTIONS, INC.",1121480.95,USA,"9658 BALTIMORE AVE STE 300","COLLEGE PARK","PRINCE GEORGE'S",MD,207401346,39.013254,-76.928648,1,rooftop,"9658 Baltimore Ave","Ste 300","College Park, MD 20740",9658,"Baltimore Ave",Ste,300,"College Park",MD,"Prince George's County",20740,US,"Prince Georges"
"THE TRAINING CONNECTION INC",1120715.76,USA,"4004 GENESEE PL",WOODBRIDGE,"PRINCE WILLIAM",VA,22192,38.67603,-77.351,1,rooftop,"4004 Genesee Pl",,"Woodbridge, VA 22192",4004,"Genesee Pl",,,Woodbridge,VA,"Prince William County",22192,US,"Prince William"
"FREEDOM INTERNATIONAL INC",1117207.92,USA,"42268 PROVIDENCE RIDGE DR",CHANTILLY,LOUDOUN,VA,201524372,38.927676,-77.539335,1,rooftop,"42268 Providence Ridge Dr",,"Chantilly, VA 20152",42268,"Providence Ridge Dr",,,Chantilly,VA,"Loudoun County",20152,US,Loudoun
"FEDERAL EXPRESS CORPORATION",1106221.87,USA,"2003 CORPORATE PLZ",MEMPHIS,SHELBY,TN,381321702,35.074394,-89.995736,0.93,rooftop,"2003 Corporate Ave",,"Memphis, TN 38132",2003,"Corporate Ave",,,Memphis,TN,"Shelby County",38132,US,"City of Memphis"
"BGRS RELOCATION INC",1086800,USA,"1 PARKVIEW PLZ STE 400","OAKBROOK TERRACE",DUPAGE,IL,601814492,41.846598,-87.959094,1,range_interpolation,"1 Parkview Plz","Ste 400","Oakbrook Terrace, IL 60181",1,"Parkview Plz",Ste,400,"Oakbrook Terrace",IL,"Dupage County",60181,US,"TIGER/Line® dataset from the US Census Bureau"
