let geocoded_ice = 
`recipient_name,total_obligated_amount,Country,Address,County,City,State,"Zip4 Code","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"THE KACE COMPANY, LLC.",117932392.1,USA,"44620 GUILFORD DR STE 150",ASHBURN,LOUDOUN,VA,201476063,39.024362,-77.45658,1,rooftop,"44620 Guilford Dr","Ste 150","Ashburn, VA 20147",44620,"Guilford Dr",Ste,150,Ashburn,VA,"Loudoun County",20147,US,Loudoun
"GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.",108973297.1,USA,"3150 FAIRVIEW PARK DR STE 100","FALLS CHURCH",FAIRFAX,VA,220424504,38.859085,-77.217743,1,rooftop,"3150 Fairview Park Dr","Ste 100","Falls Church, VA 22042",3150,"Fairview Park Dr",Ste,100,"Falls Church",VA,"Fairfax County",22042,US,Fairfax
"FOUR POINTS TECHNOLOGY, L.L.C.",103242419.2,USA,"13221 WOODLAND PARK RD",HERNDON,FAIRFAX,VA,201715505,38.952756,-77.402564,1,rooftop,"13221 Woodland Park Rd",,"Herndon, VA 20171",13221,"Woodland Park Rd",,,Herndon,VA,"Fairfax County",20171,US,Fairfax
"TRIBALCO LLC",97215506.68,USA,"7735 OLD GEORGETOWN RD FL 12",BETHESDA,MONTGOMERY,MD,208146193,38.987385,-77.098052,1,rooftop,"7735 Old Georgetown Rd","Fl 12","Bethesda, MD 20814",7735,"Old Georgetown Rd",Fl,12,Bethesda,MD,"Montgomery County",20814,US,Montgomery
"CACI NSS, LLC",93793572.25,USA,"12021 SUNSET HILLS RD",RESTON,FAIRFAX,VA,201905854,38.954096,-77.358223,1,rooftop,"12021 Sunset Hills Rd",,"Reston, VA 20190",12021,"Sunset Hills Rd",,,Reston,VA,"Fairfax County",20190,US,Fairfax
"FCN INC",90238774.55,USA,"12501 ARDENNES AVE STE 101",ROCKVILLE,MONTGOMERY,MD,208521741,39.064318,-77.116423,1,rooftop,"12501 Ardennes Ave","Ste 101","Rockville, MD 20852",12501,"Ardennes Ave",Ste,101,Rockville,MD,"Montgomery County",20852,US,Montgomery
"WIDEPOINT INTEGRATED SOLUTIONS CORP",90070318.97,USA,"11250 WAPLES MILL RD STE 210",FAIRFAX,FAIRFAX,VA,220307400,38.863396,-77.335065,1,rooftop,"11250 Waples Mill Rd","Ste 210","Fairfax, VA 22030",11250,"Waples Mill Rd",Ste,210,Fairfax,VA,"Fairfax County",22030,US,Fairfax
"MANAGEMENT & TRAINING CORPORATION",89390076.87,USA,"500 N MARKET PL DR STE 100",CENTERVILLE,DAVIS,UT,840141711,40.92221,-111.887432,1,rooftop,"500 N Market Place Dr","Ste 100","Centerville, UT 84014",500,"N Market Place Dr",Ste,100,Centerville,UT,"Davis County",84014,US,"Utah AGRC (and individual UT counties)"
"DEV TECHNOLOGY GROUP INC",85975522.94,USA,"11440 COMMERCE PARK DRIVE",RESTON,FAIRFAX,VA,201911544,38.946722,-77.341493,1,rooftop,"11440 Commerce Park Dr",,"Reston, VA 20191",11440,"Commerce Park Dr",,,Reston,VA,"Fairfax County",20191,US,Fairfax
"CACI-ISS, LLC",85715112.73,USA,"14370 NEWBROOK DRIVE",CHANTILLY,FAIRFAX,VA,201512218,38.876751,-77.445776,1,rooftop,"14370 Newbrook Dr",,"Chantilly, VA 20151",14370,"Newbrook Dr",,,Chantilly,VA,"Fairfax County",20151,US,Fairfax
