Name,City,State,Zip,"Type Detailed*",Private,Operator,"Current Guaranteed Minimum","Average Daily Population","Current as of**","Geocodio Latitude","Geocodio Longitude","Geocodio Accuracy Score","Geocodio Accuracy Type","Geocodio Address Line 1","Geocodio Address Line 2","Geocodio Address Line 3","Geocodio House Number","Geocodio Street","Geocodio Unit Type","Geocodio Unit Number","Geocodio City","Geocodio State","Geocodio County","Geocodio Postal Code","Geocodio Country","Geocodio Source"
"NASSAU COUNTY CORRECTIONAL CENTER","EAST MEADOW",NY,11554,"USMS IGA",FALSE,COUNTY,,11,08/04/2025,40.6817,-73.59146,0.86,street_center,"Nassau Rd",,"Roosevelt, NY 11575",,"Nassau Rd",,,Roosevelt,NY,"Nassau County",11575,US,"TIGER/Line® dataset from the US Census Bureau"
"TWO BRIDGES REGIONAL JAIL",WISCASSET,ME,4578,"USMS IGA",FALSE,STATE,,11,08/04/2025,43.972814,-69.671759,1,range_interpolation,"2 Bridge Rd",,"Westport Island, ME 04578",2,"Bridge Rd",,,"Westport Island",ME,"Lincoln County",04578,US,"TIGER/Line® dataset from the US Census Bureau"
"EAST HIDALGO DETENTION CENTER","LA VILLA",TX,78562,"USMS IGA",TRUE,GEO,,10,08/04/2025,26.417784,-97.788668,0.89,street_center,"E Hidalgo St",,"Lyford, TX 78569",,"E Hidalgo St",,,Lyford,TX,"Willacy County",78569,US,"TIGER/Line® dataset from the US Census Bureau"
"DEPARTMENT OF CORRECTIONS HAGATNA",HAGATNA,GU,96910,"USMS IGA",FALSE,COUNTY,,8,08/04/2025,13.472745,144.752018,1,place,,,"Hagatna, GU 96910",,,,,Hagatna,GU,Guam,96910,US,"TIGER/Line® dataset from the US Census Bureau"
"HARDIN COUNTY JAIL",ELDORA,IA,50627,IGSA,FALSE,COUNTY,,8,08/04/2025,42.335289,-93.141651,1,place,,,"Eldora, IA 50627",,,,,Eldora,IA,"Hardin County",50627,US,"TIGER/Line® dataset from the US Census Bureau"
"NORTHWEST STATE CORRECTIONAL CENTER",SWANTON,VT,5488,"USMS IGA",FALSE,STATE,,8,08/04/2025,44.9181,-73.1243,1,place,,,"Swanton, VT 05488",,,,,Swanton,VT,"Franklin County",05488,US,"TIGER/Line® dataset from the US Census Bureau"
"ROBERT A DEYTON DETENTION FACILITY",LOVEJOY,GA,30250,"USMS CDF",TRUE,GEO,,8,08/04/2025,33.436532,-84.314206,1,place,,,"Lovejoy, GA 30250",,,,,Lovejoy,GA,"Clayton County",30250,US,"TIGER/Line® dataset from the US Census Bureau"
"DALLAS COUNTY JAIL - LEW STERRETT JUSTICE CENTER",DALLAS,TX,75202,"USMS IGA",FALSE,COUNTY,,7,08/04/2025,32.93111,-96.821397,0.9,street_center,"Dallas Pkwy",,"Dallas, TX 75240",,"Dallas Pkwy",,,Dallas,TX,"Dallas County",75240,US,"TIGER/Line® dataset from the US Census Bureau"
"LINN COUNTY JAIL","CEDAR RAPIDS",IA,52401,"USMS IGA",FALSE,COUNTY,,7,08/04/2025,41.976612,-91.657578,1,place,,,"Cedar Rapids, IA 52401",,,,,"Cedar Rapids",IA,"Linn County",52401,US,"TIGER/Line® dataset from the US Census Bureau"
"SAIPAN DEPARTMENT OF CORRECTIONS (SUSUPE)",SAIPAN,MP,96950,"USMS IGA",FALSE,STATE,,7,08/04/2025,15.190983,145.746743,1,place,,,"Saipan, MP 96950",,,,,Saipan,MP,"Saipan Municipality",96950,US,"TIGER/Line® dataset from the US Census Bureau"
